獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號
5,11,16,21,28,29,32,34,37,38,40,48,50,51,55,56,61,65,70,72,65
10,13,20,23,27,28,33,37,40,41,42,47,49,52,53,56,66,67,69,77,53
4,6,8,10,13,14,16,27,30,32,37,45,46,56,58,59,68,73,75,79,79
6,24,28,40,42,43,48,49,53,54,58,61,62,64,65,66,73,74,77,79,42
2,13,17,19,21,27,32,47,48,57,60,61,63,65,66,67,70,71,74,78,2
1,3,5,15,21,23,25,26,41,42,43,45,48,53,55,57,66,72,74,78,21
1,2,11,14,15,18,19,22,24,25,38,39,42,53,60,62,71,75,78,80,15
7,16,18,20,22,23,25,27,28,32,37,42,46,49,51,54,61,73,75,76,23
10,13,14,15,18,19,29,30,34,43,44,49,58,61,62,63,64,65,78,79,29
1,2,4,6,8,9,14,15,19,20,21,30,34,36,38,44,50,51,55,75,30
2,7,10,13,24,25,28,31,48,50,55,59,61,62,64,66,74,75,76,80,61
4,6,8,9,13,15,16,34,40,41,44,47,48,49,55,56,60,64,75,78,6
7,9,11,20,24,26,27,31,33,35,37,40,41,46,55,56,63,70,76,79,63
3,15,16,18,20,27,30,31,37,51,52,58,62,64,67,69,73,74,77,79,79
4,6,14,19,22,23,24,27,29,30,38,43,45,46,50,58,62,69,72,78,22
5,7,11,14,15,21,24,25,26,32,34,47,51,53,63,68,72,75,78,80,32
3,4,6,7,10,13,19,25,26,32,34,40,41,59,61,68,70,73,76,78,10
5,8,12,15,17,18,22,31,33,34,37,38,49,58,62,63,67,71,72,75,15
5,11,12,13,15,19,20,32,36,37,38,39,41,43,47,54,62,63,68,72,36
1,2,3,12,19,23,24,25,33,34,40,44,48,52,58,65,68,69,75,80,68
2,3,12,17,18,19,20,21,24,26,42,62,68,72,73,75,76,77,79,80,76
8,9,10,11,15,19,21,24,26,27,38,43,51,53,54,56,58,62,64,65,27
2,5,7,16,18,19,30,35,37,40,45,48,50,51,54,55,60,69,73,80,73
8,12,13,14,18,23,25,26,27,28,33,39,49,57,61,68,70,75,78,80,18
4,8,22,25,26,28,38,40,41,50,51,53,55,57,61,66,73,78,79,80,73
4,6,13,18,21,22,28,30,35,38,40,46,49,56,65,67,71,72,73,77,67
1,2,7,9,10,11,12,15,17,27,31,32,35,40,52,58,61,62,70,80,1
